city_names,population
Tokyo,"37,393,129"
Delhi,"30,290,936"
Shanghai,"27,058,479"
Sao Paulo,"22,043,028"
Mexico City,"21,782,378"
Dhaka,"21,005,860"
Cairo,"20,900,604"
Beijing,"20,462,610"
Mumbai,"20,411,274"
Osaka,"19,165,340"
Karachi,"16,093,786"
Chongqing,"15,872,179"
Istanbul,"15,190,336"
Buenos Aires,"15,153,729"
Kolkata,"14,850,066"
Lagos,"14,368,332"
Kinshasa,"14,342,439"
Manila,"13,923,452"
Tianjin,"13,589,078"
Rio De Janeiro,"13,458,075"
Guangzhou,"13,301,532"
Lahore,"12,642,423"
Moscow,"12,537,954"
Shenzhen,"12,356,820"
Bangalore,"12,326,532"
Paris,"11,017,230"
Bogota,"10,978,360"
Chennai,"10,971,108"
Jakarta,"10,770,487"
Lima,"10,719,188"
Bangkok,"10,539,415"
Hyderabad,"10,004,144"
Seoul,"9,963,452"
Nagoya,"9,552,132"
London,"9,304,016"
Chengdu,"9,135,768"
Tehran,"9,134,708"
New York,"8,622,357"
Wuhan,"8,364,977"
Luanda,"8,329,798"
Ahmedabad,"8,059,441"
Xian,"8,000,965"
Kuala Lumpur,"7,996,830"
Hangzhou,"7,642,147"
Hong Kong,"7,547,652"
Dongguan,"7,407,852"
Foshan,"7,326,852"
Riyadh,"7,231,447"
Shenyang,"7,220,104"
Surat,"7,184,590"
Baghdad,"7,144,260"
Suzhou Jiangsu,"7,069,992"
Santiago,"6,767,223"
Dar Es Salaam,"6,701,650"
Pune,"6,629,347"
Madrid,"6,617,513"
Harbin,"6,387,195"
Toronto,"6,196,731"
Belo Horizonte,"6,084,430"
Singapore,"5,935,053"
Khartoum,"5,828,858"
Johannesburg,"5,782,747"
Qingdao,"5,619,977"
Dalian,"5,617,849"
Barcelona,"5,585,556"
Fukuoka,"5,528,632"
St Petersburg,"5,467,808"
Jinan,"5,360,185"
Yangon,"5,331,800"
Zhengzhou,"5,322,696"
Alexandria,"5,280,664"
Abidjan,"5,202,762"
Guadalajara,"5,179,479"
Ankara,"5,117,603"
Chittagong,"5,019,824"
Melbourne,"4,967,733"
Sydney,"4,925,987"
Monterrey,"4,874,095"
Nairobi,"4,734,881"
Brasilia,"4,645,843"
Cape Town,"4,617,560"
Jiddah,"4,610,176"
Changsha,"4,577,723"
Kunming,"4,443,186"
Changchun,"4,425,761"
Xinbei,"4,398,383"
Urumqi,"4,368,865"
Shantou,"4,327,316"
Rome,"4,257,056"
Hefei,"4,241,514"
Montreal,"4,220,566"
Tel Aviv,"4,181,479"
Porto Alegre,"4,137,417"
Recife,"4,127,091"
Ningbo,"4,116,209"
Shijiazhuang,"4,114,393"
Los Angeles,"4,085,014"
Fortaleza,"4,073,465"
Medellin,"4,000,263"
Kano,"3,999,050"
Yaounde,"3,992,411"
Jaipur,"3,909,333"
Ekurhuleni,"3,894,262"
Taiyuan Shanxi,"3,891,127"
Nanning,"3,859,608"
San Salvador,"3,839,076"
Casablanca,"3,752,357"
Xiamen,"3,720,141"
