City,Country,Latitude,Longitude,Population,DateTime,Weather,Main_Weather,Feels_like,temp,max_temp,min_temp,Wind_Speed
Tokyo,JP,35.69,139.69,"37,393,129",2020-04-27 01:07,Clouds,broken clouds,9.57,15.44,17.22,13.89,8.2
Delhi,IN,28.67,77.22,"30,290,936",2020-04-26 21:40,Haze,haze,22.1,22.0,22.0,22.0,2.1
Shanghai,CN,31.22,121.46,"27,058,479",2020-04-27 00:08,Clouds,few clouds,11.0,14.9,15.0,14.44,6.0
Sao Paulo,BR,-23.55,-46.64,"22,043,028",2020-04-26 13:10,Clear,clear sky,25.63,26.18,26.67,26.0,2.1
Mexico City,MX,19.43,-99.13,"21,782,378",2020-04-26 11:08,Clouds,scattered clouds,16.54,18.0,18.0,18.0,2.1
Dhaka,BD,23.71,90.41,"21,005,860",2020-04-26 22:07,Haze,haze,24.17,22.0,22.0,22.0,1.5
Cairo,EG,30.06,31.25,"20,900,604",2020-04-26 18:09,Clear,clear sky,20.45,25.0,25.0,25.0,5.1
Beijing,CN,39.91,116.4,"20,462,610",2020-04-27 00:11,Clouds,scattered clouds,12.83,15.36,18.89,12.78,2.0
Mumbai,IN,19.01,72.85,"20,411,274",2020-04-26 21:40,Haze,haze,33.24,29.0,29.0,29.0,3.1
Osaka,JP,34.69,135.5,"19,165,340",2020-04-27 01:11,Clouds,overcast clouds,6.14,10.44,15.0,7.22,2.51
Karachi,PK,24.91,67.08,"16,093,786",2020-04-26 21:08,Clouds,few clouds,28.86,28.0,28.0,28.0,6.2
Chongqing,CN,29.56,106.55,"15,872,179",2020-04-27 00:08,Clear,clear sky,19.3,20.0,20.0,20.0,1.0
Istanbul,TR,41.04,28.98,"15,190,336",2020-04-26 19:10,Clouds,overcast clouds,14.04,17.58,19.0,15.0,3.6
Buenos Aires,AR,-34.61,-58.38,"15,153,729",2020-04-26 13:07,Clouds,broken clouds,14.32,19.71,20.56,18.89,10.3
Kolkata,IN,22.57,88.37,"14,850,066",2020-04-26 21:40,Haze,haze,27.76,24.0,24.0,24.0,2.1
Lagos,NG,6.58,3.75,"14,368,332",2020-04-26 17:09,Clouds,scattered clouds,36.32,30.0,30.0,30.0,1.0
Kinshasa,CD,-4.32,15.32,"14,342,439",2020-04-26 17:11,Rain,light rain,32.62,30.41,32.0,29.0,4.6
Manila,PH,14.6,120.98,"13,923,452",2020-04-27 00:10,Clouds,few clouds,32.47,28.54,29.0,28.33,1.5
Tianjin,CN,39.14,117.18,"13,589,078",2020-04-27 00:11,Clouds,scattered clouds,8.58,12.0,12.0,12.0,3.0
Rio De Janeiro,BR,-22.9,-43.21,"13,458,075",2020-04-26 13:07,Clouds,few clouds,31.15,28.03,30.0,26.0,2.1
Guangzhou,CN,23.12,113.25,"13,301,532",2020-04-27 00:10,Clouds,overcast clouds,27.52,23.7,24.44,22.78,2.47
Lahore,PK,31.55,74.34,"12,642,423",2020-04-26 21:07,Clouds,broken clouds,29.94,29.0,29.0,29.0,3.1
Moscow,RU,55.75,37.62,"12,537,954",2020-04-26 19:07,Clouds,overcast clouds,4.38,10.16,11.11,9.0,4.0
Shenzhen,CN,22.55,114.07,"12,356,820",2020-04-27 00:11,Mist,mist,25.38,23.55,24.44,22.78,3.0
Bangalore,IN,12.98,77.6,"12,326,532",2020-04-26 21:41,Clouds,few clouds,31.66,29.3,31.11,28.0,2.6
Paris,FR,48.85,2.35,"11,017,230",2020-04-26 18:10,Clear,clear sky,16.9,20.36,21.67,18.89,2.6
Bogota,CO,4.61,-74.08,"10,978,360",2020-04-26 11:11,Clouds,few clouds,14.4,17.0,17.0,17.0,2.1
Chennai,IN,13.09,80.28,"10,971,108",2020-04-26 21:39,Clouds,scattered clouds,33.08,28.6,29.0,28.33,1.5
Jakarta,ID,-6.21,106.85,"10,770,487",2020-04-26 23:11,Thunderstorm,thunderstorm,27.21,23.75,26.0,21.67,1.5
Lima,PE,-12.04,-77.03,"10,719,188",2020-04-26 11:11,Clear,clear sky,23.58,23.0,23.0,23.0,3.1
Bangkok,TH,13.75,100.52,"10,539,415",2020-04-26 23:09,Clouds,few clouds,34.72,30.51,31.67,29.44,1.0
Hyderabad,IN,17.38,78.47,"10,004,144",2020-04-26 21:41,Haze,haze,30.53,28.0,28.0,28.0,1.5
Seoul,KR,37.57,126.98,"9,963,452",2020-04-27 01:08,Clouds,few clouds,6.7,9.4,10.0,9.0,1.31
Nagoya,JP,35.18,136.91,"9,552,132",2020-04-27 01:10,Clouds,broken clouds,11.52,12.66,14.0,12.0,1.5
London,GB,51.51,-0.13,"9,304,016",2020-04-26 17:07,Clear,clear sky,15.95,20.14,21.67,18.33,4.6
Chengdu,CN,30.67,104.07,"9,135,768",2020-04-27 00:11,Clouds,overcast clouds,18.87,20.28,20.56,20.0,1.0
Tehran,IR,35.69,51.42,"9,134,708",2020-04-26 20:41,Rain,light intensity shower rain,11.44,15.57,16.0,15.0,5.1
New York,US,40.71,-74.01,"8,622,357",2020-04-26 12:06,Rain,light rain,3.71,9.01,10.56,7.78,5.7
Wuhan,CN,30.58,114.27,"8,364,977",2020-04-27 00:11,Clear,clear sky,20.84,21.0,21.0,21.0,2.0
Luanda,AO,-8.84,13.23,"8,329,798",2020-04-26 17:11,Clouds,broken clouds,28.66,28.0,28.0,28.0,7.2
Ahmedabad,IN,23.03,72.62,"8,059,441",2020-04-26 21:38,Smoke,smoke,33.36,34.0,34.0,34.0,6.2
Xian,CN,34.26,108.93,"8,000,965",2020-04-27 00:11,Clear,clear sky,15.18,19.12,20.56,17.0,2.0
Kuala Lumpur,MY,3.14,101.69,"7,996,830",2020-04-27 00:11,Rain,light rain,31.05,25.5,26.0,25.0,0.77
Hangzhou,CN,30.29,120.16,"7,642,147",2020-04-27 00:11,Clouds,broken clouds,16.41,17.44,17.78,17.0,4.0
