,City,Country,Latitude,Longitude,Population,Weather,Main_Weather,Feels_like,temp,max_temp,min_temp,Wind_Speed
0,Tokyo,JP,35.69,139.69,"37,393,129",Clouds,few clouds,11.64,14.52,16.11,13.0,2.6
1,Delhi,IN,28.67,77.22,"30,290,936",Haze,haze,21.87,25.0,25.0,25.0,6.2
2,Shanghai,CN,31.22,121.46,"27,058,479",Clouds,broken clouds,16.67,20.2,20.56,20.0,4.0
3,Sao Paulo,BR,-23.55,-46.64,"22,043,028",Clouds,scattered clouds,19.69,19.17,19.44,19.0,2.1
4,Mexico City,MX,19.43,-99.13,"21,782,378",Clouds,overcast clouds,17.01,23.0,23.0,23.0,7.2
5,Dhaka,BD,23.71,90.41,"21,005,860",Haze,haze,23.8,23.0,23.0,23.0,4.1
6,Cairo,EG,30.06,31.25,"20,900,604",Clouds,scattered clouds,14.15,16.83,17.0,16.67,4.6
7,Beijing,CN,39.91,116.4,"20,462,610",Clouds,few clouds,9.78,16.25,17.0,15.0,5.0
8,Mumbai,IN,19.01,72.85,"20,411,274",Haze,haze,33.66,29.0,29.0,29.0,1.55
9,Osaka,JP,34.69,135.5,"19,165,340",Clear,clear sky,11.14,14.1,16.0,12.0,2.6
10,Karachi,PK,24.91,67.08,"16,093,786",Clear,clear sky,27.4,27.0,27.0,27.0,4.6
11,Chongqing,CN,29.56,106.55,"15,872,179",Clouds,overcast clouds,14.44,15.45,16.67,14.0,2.0
12,Istanbul,TR,41.04,28.98,"15,190,336",Clear,clear sky,2.49,6.0,8.0,3.33,2.6
13,Buenos Aires,AR,-34.61,-58.38,"15,153,729",Thunderstorm,thunderstorm,20.57,20.59,22.0,19.44,3.1
14,Kolkata,IN,22.57,88.37,"14,850,066",Haze,haze,27.59,24.0,24.0,24.0,1.5
15,Lagos,NG,6.58,3.75,"14,368,332",Clouds,few clouds,34.89,29.0,29.0,29.0,1.5
16,Kinshasa,CD,-4.32,15.32,"14,342,439",Clouds,scattered clouds,29.04,25.06,26.0,24.0,1.0
17,Manila,PH,14.6,120.98,"13,923,452",Clouds,few clouds,35.3,31.46,31.67,31.0,3.1
18,Tianjin,CN,39.14,117.18,"13,589,078",Clouds,few clouds,8.48,17.0,17.0,17.0,8.0
19,Rio De Janeiro,BR,-22.9,-43.21,"13,458,075",Clouds,few clouds,24.67,23.55,24.0,23.0,2.1
20,Guangzhou,CN,23.12,113.25,"13,301,532",Clouds,overcast clouds,20.04,19.64,21.11,18.0,2.0
21,Lahore,PK,31.55,74.34,"12,642,423",Haze,haze,21.51,23.0,23.0,23.0,2.1
22,Moscow,RU,55.75,37.62,"12,537,954",Clouds,scattered clouds,0.26,4.32,5.56,3.0,4.0
23,Shenzhen,CN,22.55,114.07,"12,356,820",Clouds,overcast clouds,20.74,19.88,21.11,18.0,2.0
24,Bangalore,IN,12.98,77.6,"12,326,532",Clouds,few clouds,25.72,23.0,23.0,23.0,3.6
25,Paris,FR,48.85,2.35,"11,017,230",Clouds,few clouds,11.4,15.19,16.67,14.0,3.6
26,Bogota,CO,4.61,-74.08,"10,978,360",Clouds,few clouds,13.11,14.0,14.0,14.0,2.1
27,Chennai,IN,13.09,80.28,"10,971,108",Clouds,few clouds,33.66,29.26,29.44,29.0,3.1
28,Jakarta,ID,-6.21,106.85,"10,770,487",Haze,haze,31.14,26.29,27.78,25.0,1.5
29,Lima,PE,-12.04,-77.03,"10,719,188",Clear,clear sky,19.73,21.0,21.0,21.0,5.1
30,Bangkok,TH,13.75,100.52,"10,539,415",Clouds,few clouds,34.57,30.04,31.11,29.0,2.6
31,Hyderabad,IN,17.38,78.47,"10,004,144",Clouds,broken clouds,28.38,29.09,29.09,29.09,3.44
32,Seoul,KR,37.57,126.98,"9,963,452",Clouds,scattered clouds,9.28,15.7,16.0,15.0,7.49
33,Nagoya,JP,35.18,136.91,"9,552,132",Clouds,few clouds,9.69,12.54,13.89,11.0,2.6
34,London,GB,51.51,-0.13,"9,304,016",Clouds,overcast clouds,3.75,8.55,9.44,7.78,5.7
35,Chengdu,CN,30.67,104.07,"9,135,768",Clouds,overcast clouds,16.72,17.32,18.33,16.0,1.0
